timestamp,wallet_money,invest_money,all_money,nb_en_orders,nb_di_orders
1640673000000.0,10000,0,10000,0,0
1640673900000.0,10000,0,10000,0,0
1640674800000.0,10000,0,10000,0,0
1640675700000.0,10000,0,10000,0,0
1640676600000.0,10000,0,10000,0,0
1640677500000.0,10000,0,10000,0,0
1640678400000.0,10000,0,10000,0,0
1640679300000.0,10000,0,10000,0,0
1640680200000.0,10000,0,10000,0,0
1640681100000.0,10000,0,10000,0,0
1640682000000.0,10000,0,10000,0,0
1640682900000.0,10000,0,10000,0,0
1640683800000.0,10000,0,10000,0,0
1640684700000.0,10000,0,10000,0,0
1640685600000.0,10000,0,10000,0,0
1640686500000.0,10000,0,10000,0,0
1640687400000.0,10000,0,10000,0,0
1640688300000.0,10000,0,10000,0,0
1640689200000.0,10000,0,10000,0,0
1640690100000.0,10000,0,10000,0,0
1640691000000.0,10000,0,10000,0,0
1640691900000.0,10000,0,10000,0,0
1640692800000.0,10000,0,10000,0,0
1640693700000.0,10000,0,10000,0,0
1640694600000.0,10000,0,10000,0,0
1640695500000.0,10000,0,10000,0,0
1640696400000.0,10000,0,10000,0,0
1640697300000.0,10000,0,10000,0,0
1640698200000.0,10000,0,10000,0,0
1640699100000.0,10000,0,10000,0,0
1640700000000.0,10000,0,10000,0,0
1640700900000.0,10000,0,10000,0,0
1640701800000.0,10000,0,10000,0,0
1640702700000.0,10000,0,10000,0,0
1640703600000.0,10000,0,10000,0,0
1640704500000.0,10000,0,10000,0,0
1640705400000.0,10000,0,10000,0,0
1640706300000.0,10000,0,10000,0,0
1640707200000.0,10000,0,10000,0,0
1640708100000.0,10000,0,10000,0,0
1640709000000.0,10000,0,10000,0,0
1640709900000.0,10000,0,10000,0,0
1640710800000.0,10000,0,10000,0,0
1640711700000.0,10000,0,10000,0,0
1640712600000.0,10000,0,10000,0,0
1640713500000.0,10000,0,10000,0,0
1640714400000.0,10000,0,10000,0,0
1640715300000.0,10000,0,10000,0,0
1640716200000.0,10000,0,10000,0,0
1640717100000.0,10000,0,10000,0,0
1640718000000.0,10000,0,10000,0,0
1640718900000.0,10000,0,10000,0,0
1640719800000.0,10000,0,10000,0,0
1640720700000.0,10000,0,10000,0,0
1640721600000.0,10000,0,10000,0,0
1640722500000.0,10000,0,10000,0,0
1640723400000.0,10000,0,10000,0,0
1640724300000.0,10000,0,10000,0,0
1640725200000.0,10000,0,10000,0,0
1640726100000.0,10000,0,10000,0,0
1640727000000.0,10000,0,10000,0,0
1640727900000.0,10000,0,10000,0,0
1640728800000.0,10000,0,10000,0,0
1640729700000.0,10000,0,10000,0,0
1640730600000.0,10000,0,10000,0,0
1640731500000.0,10000,0,10000,0,0
1640732400000.0,10000,0,10000,0,0
1640733300000.0,10000,0,10000,0,0
1640734200000.0,10000,0,10000,0,0
1640735100000.0,10000,0,10000,0,0
1640736000000.0,10000,0,10000,0,0
1640736900000.0,10000,0,10000,0,0
1640737800000.0,10000,0,10000,0,0
1640738700000.0,10000,0,10000,0,0
1640739600000.0,10000,0,10000,0,0
1640740500000.0,10000,0,10000,0,0
1640741400000.0,10000,0,10000,0,0
1640742300000.0,10000,0,10000,0,0
1640743200000.0,10000,0,10000,0,0
1640744100000.0,10000,0,10000,0,0
1640745000000.0,10000,0,10000,0,0
1640745900000.0,10000,0,10000,0,0
1640746800000.0,10000,0,10000,0,0
1640747700000.0,10000,0,10000,0,0
1640748600000.0,10000,0,10000,0,0
1640749500000.0,10000,0,10000,0,0
1640750400000.0,10000,0,10000,0,0
1640751300000.0,10000,0,10000,0,0
1640752200000.0,10000,0,10000,0,0
1640753100000.0,10000,0,10000,0,0
1640754000000.0,10000,0,10000,0,0
1640754900000.0,10000,0,10000,0,0
1640755800000.0,10000,0,10000,0,0
1640756700000.0,10000,0,10000,0,0
1640757600000.0,10000,0,10000,0,0
1640758500000.0,10000,0,10000,0,0
1640759400000.0,10000,0,10000,0,0
1640760300000.0,10000,0,10000,0,0
1640761200000.0,10000,0,10000,0,0
1640762100000.0,10000,0,10000,0,0
1640763000000.0,10000,0,10000,0,0
1640763900000.0,10000,0,10000,0,0
1640764800000.0,10000,0,10000,0,0
1640765700000.0,10000,0,10000,0,0
1640766600000.0,10000,0,10000,0,0
1640767500000.0,10000,0,10000,0,0
1640768400000.0,10000,0,10000,0,0
1640769300000.0,10000,0,10000,0,0
1640770200000.0,10000,0,10000,0,0
1640771100000.0,10000,0,10000,0,0
1640772000000.0,10000,0,10000,0,0
1640772900000.0,10000,0,10000,0,0
1640773800000.0,10000,0,10000,0,0
1640774700000.0,10000,0,10000,0,0
1640775600000.0,10000,0,10000,0,0
1640776500000.0,10000,0,10000,0,0
1640777400000.0,10000,0,10000,0,0
1640778300000.0,10000,0,10000,0,0
1640779200000.0,10000,0,10000,0,0
1640780100000.0,10000,0,10000,0,0
1640781000000.0,10000,0,10000,0,0
1640781900000.0,10000,0,10000,0,0
1640782800000.0,10000,0,10000,0,0
1640783700000.0,10000,0,10000,0,0
1640784600000.0,10000,0,10000,0,0
1640785500000.0,10000,0,10000,0,0
1640786400000.0,10000,0,10000,0,0
1640787300000.0,10000,0,10000,0,0
1640788200000.0,10000,0,10000,0,0
1640789100000.0,10000,0,10000,0,0
1640790000000.0,10000,0,10000,0,0
1640790900000.0,10000,0,10000,0,0
1640791800000.0,10000,0,10000,0,0
1640792700000.0,10000,0,10000,0,0
1640793600000.0,10000,0,10000,0,0
1640794500000.0,10000,0,10000,0,0
1640795400000.0,10000,0,10000,0,0
1640796300000.0,10000,0,10000,0,0
1640797200000.0,10000,0,10000,0,0
1640798100000.0,10000,0,10000,0,0
1640799000000.0,10000,0,10000,0,0
1640799900000.0,10000,0,10000,0,0
1640800800000.0,10000,0,10000,0,0
1640801700000.0,10000,0,10000,0,0
1640802600000.0,10000,0,10000,0,0
1640803500000.0,10000,0,10000,0,0
1640804400000.0,10000,0,10000,0,0
1640805300000.0,10000,0,10000,0,0
1640806200000.0,10000,0,10000,0,0
1640807100000.0,10000,0,10000,0,0
1640808000000.0,10000,0,10000,0,0
1640808900000.0,10000,0,10000,0,0
1640809800000.0,10000,0,10000,0,0
1640810700000.0,10000,0,10000,0,0
1640811600000.0,10000,0,10000,0,0
1640812500000.0,10000,0,10000,0,0
1640813400000.0,10000,0,10000,0,0
1640814300000.0,10000,0,10000,0,0
1640815200000.0,10000,0,10000,0,0
1640816100000.0,10000,0,10000,0,0
1640817000000.0,10000,0,10000,0,0
1640817900000.0,10000,0,10000,0,0
1640818800000.0,10000,0,10000,0,0
1640819700000.0,10000,0,10000,0,0
1640820600000.0,10000,0,10000,0,0
1640821500000.0,10000,0,10000,0,0
1640822400000.0,10000,0,10000,0,0
1640823300000.0,10000,0,10000,0,0
1640824200000.0,10000,0,10000,0,0
1640825100000.0,10000,0,10000,0,0
1640826000000.0,10000,0,10000,0,0
1640826900000.0,10000,0,10000,0,0
1640827800000.0,10000,0,10000,0,0
1640828700000.0,10000,0,10000,0,0
1640829600000.0,10000,0,10000,0,0
1640830500000.0,10000,0,10000,0,0
1640831400000.0,10000,0,10000,0,0
1640832300000.0,10000,0,10000,0,0
1640833200000.0,10000,0,10000,0,0
1640834100000.0,10000,0,10000,0,0
1640835000000.0,10000,0,10000,0,0
1640835900000.0,10000,0,10000,0,0
1640836800000.0,10000,0,10000,0,0
1640837700000.0,10000,0,10000,0,0
1640838600000.0,10000,0,10000,0,0
1640839500000.0,10000,0,10000,0,0
1640840400000.0,10000,0,10000,0,0
1640841300000.0,10000,0,10000,0,0
1640842200000.0,10000,0,10000,0,0
1640843100000.0,10000,0,10000,0,0
1640844000000.0,10000,0,10000,0,0
1640844900000.0,10000,0,10000,0,0
1640845800000.0,10000,0,10000,0,0
1640846700000.0,10000,0,10000,0,0
1640847600000.0,10000,0,10000,0,0
1640848500000.0,10000,0,10000,0,0
1640849400000.0,10000,0,10000,0,0
1640850300000.0,10000,0,10000,0,0
1640851200000.0,10000,0,10000,0,0
1640852100000.0,10000,0,10000,0,0
1640853000000.0,10000,0,10000,0,0
1640853900000.0,10000,0,10000,0,0
1640854800000.0,10000,0,10000,0,0
1640855700000.0,10000,0,10000,0,0
1640856600000.0,10000,0,10000,0,0
1640857500000.0,10000,0,10000,0,0
1640858400000.0,10000,0,10000,0,0
1640859300000.0,10000,0,10000,0,0
1640860200000.0,10000,0,10000,0,0
1640861100000.0,10000,0,10000,0,0
1640862000000.0,10000,0,10000,0,0
1640862900000.0,10000,0,10000,0,0
1640863800000.0,10000,0,10000,0,0
1640864700000.0,10000,0,10000,0,0
1640865600000.0,10000,0,10000,0,0
1640866500000.0,10000,0,10000,0,0
1640867400000.0,10000,0,10000,0,0
